actorId;timeNs
Actor-0;524550821
Actor-1;8992414
Actor-2;6193853
Actor-3;6591406
Actor-4;5676082
Actor-5;5928184
Actor-6;5471811
Actor-7;6334105
Actor-8;6039196
Actor-9;6420926
Actor-10;6610535
Actor-11;5743449
Actor-12;5267629
Actor-13;4836752
Actor-14;4957481
Actor-15;6079768
Actor-16;4951269
Actor-17;5075240
Actor-18;5052483
Actor-19;5320758
Actor-20;5255477
Actor-21;4782859
Actor-22;4192814
Actor-23;4330517
Actor-24;4379396
Actor-25;4443958
Actor-26;4366700
Actor-27;4770767
Actor-28;5258901
Actor-29;4961409
Actor-30;4515986
Actor-31;5093013
Actor-32;4551049
Actor-33;4150913
Actor-34;4158961
Actor-35;4521276
Actor-36;4534517
Actor-37;4343193
Actor-38;4414121
Actor-39;5055951
Actor-40;4394071
Actor-41;4433748
Actor-42;5090353
Actor-43;4286068
Actor-44;4163842
Actor-45;4028644
Actor-46;4416419
Actor-47;4332147
Actor-48;4494877
Actor-49;5174056
Actor-50;5432872
Actor-51;4674382
Actor-52;4235345
Actor-53;4130765
Actor-54;3975139
Actor-55;3756720
Actor-56;4059026
Actor-57;3968156
Actor-58;4187589
Actor-59;4287740
Actor-60;5020382
Actor-61;4516180
Actor-62;4430484
Actor-63;6068825
Actor-64;4561883
Actor-65;3726614
Actor-66;3745429
Actor-67;3590254
Actor-68;3697420
Actor-69;3829088
Actor-70;3974233
Actor-71;5018769
Actor-72;4507501
Actor-73;4027405
Actor-74;3970816
Actor-75;3798537
Actor-76;3783323
Actor-77;3864638
Actor-78;3793662
Actor-79;3645970
Actor-80;3963038
Actor-81;4587547
Actor-82;5209750
Actor-83;4911117
Actor-84;5431642
Actor-85;5338118
Actor-86;4661470
Actor-87;4345828
Actor-88;4221370
Actor-89;3902026
Actor-90;3823428
Actor-91;3794861
Actor-92;3939860
Actor-93;4583136
Actor-94;4208875
Actor-95;4615967
Actor-96;4582163
Actor-97;4219932
Actor-98;4786201
Actor-99;4697741
Actor-100;5112260
Actor-101;4102238
Actor-102;4222821
Actor-103;4691798
Actor-104;4506628
Actor-105;4661042
Actor-106;4413277
Actor-107;4239325
Actor-108;4303775
Actor-109;4409908
Actor-110;4909749
Actor-111;4407045
Actor-112;4442230
Actor-113;4500230
Actor-114;4746792
Actor-115;4142065
Actor-116;4541593
Actor-117;4254660
Actor-118;4246361
Actor-119;3918565
Actor-120;4844333
Actor-121;4413989
Actor-122;5229391
Actor-123;4438999
Actor-124;4517830
Actor-125;4751279
Actor-126;4828941
Actor-127;6535681
Actor-128;4950244
Actor-129;3700525
Actor-130;3921748
Actor-131;4258718
Actor-132;4776146
Actor-133;4023750
Actor-134;3505921
Actor-135;3903859
Actor-136;3641412
Actor-137;3585659
Actor-138;4824217
Actor-139;3452531
Actor-140;3370662
Actor-141;3990111
Actor-142;3718107
Actor-143;3622992
Actor-144;3993596
Actor-145;4110001
Actor-146;3752117
Actor-147;3748523
Actor-148;3704046
Actor-149;3605453
Actor-150;3657050
Actor-151;3443501
Actor-152;3476412
Actor-153;3404790
Actor-154;3436956
Actor-155;3423448
Actor-156;3413491
Actor-157;4475837
Actor-158;4117285
Actor-159;4193359
Actor-160;3613032
Actor-161;3855172
Actor-162;3714650
Actor-163;3484510
Actor-164;3314834
Actor-165;3440720
Actor-166;3428398
Actor-167;3758270
Actor-168;3802916
Actor-169;3870533
Actor-170;5294515
Actor-171;4356664
Actor-172;3933961
Actor-173;3869079
Actor-174;3601637
Actor-175;3631343
Actor-176;3922085
Actor-177;3675000
Actor-178;3636871
Actor-179;3561272
Actor-180;3982699
Actor-181;3961708
Actor-182;4344784
Actor-183;4056663
Actor-184;5158824
Actor-185;4519288
Actor-186;3916989
Actor-187;3888170
Actor-188;4342402
Actor-189;3985694
Actor-190;4328648
Actor-191;5918660
Actor-192;5547451
Actor-193;4356870
Actor-194;4610478
Actor-195;4634152
Actor-196;3977040
Actor-197;3519106
Actor-198;3554918
Actor-199;4075913
Actor-200;3950389
Actor-201;3988867
Actor-202;3658224
Actor-203;3590498
Actor-204;3721307
Actor-205;4184394
Actor-206;3443673
Actor-207;4593352
Actor-208;4279576
Actor-209;3370073
Actor-210;3139062
Actor-211;3554102
Actor-212;3601473
Actor-213;3765900
Actor-214;3562369
Actor-215;3433330
Actor-216;3340218
Actor-217;3631721
Actor-218;3572830
Actor-219;3525404
Actor-220;4404114
Actor-221;3917377
Actor-222;3669644
Actor-223;3495768
Actor-224;3478651
Actor-225;3513498
Actor-226;3619355
Actor-227;3373669
Actor-228;3153308
Actor-229;3266906
Actor-230;3456353
Actor-231;3507165
Actor-232;3779136
Actor-233;4806344
Actor-234;4050265
Actor-235;4010500
Actor-236;3618501
