actorId;timeNs
Actor-0;933058854
Actor-1;37103665
Actor-2;411489433
Actor-3;34546886
Actor-4;47513781
Actor-5;31946232
Actor-6;34864614
Actor-7;39286546
Actor-8;34971617
Actor-9;31302584
Actor-10;30803942
Actor-11;31122332
Actor-12;32065405
Actor-13;32280228
Actor-14;29889379
Actor-15;31769133
Actor-16;29790630
Actor-17;34103873
Actor-18;29801369
Actor-19;31830883
Actor-20;30168750
Actor-21;38677474
Actor-22;34935122
Actor-23;35164185
Actor-24;30431210
Actor-25;32236943
Actor-26;29454514
Actor-27;30575201
Actor-28;29140525
Actor-29;35781189
Actor-30;26555385
Actor-31;32771825
Actor-32;31628276
Actor-33;28344619
Actor-34;27795522
Actor-35;28686007
Actor-36;29065994
Actor-37;41647247
Actor-38;28028307
Actor-39;35688473
Actor-40;29289362
Actor-41;27523239
Actor-42;28880129
Actor-43;27698021
Actor-44;27897583
Actor-45;32458306
Actor-46;28214114
Actor-47;32750413
Actor-48;26549386
Actor-49;32392590
Actor-50;29518663
Actor-51;30472640
Actor-52;29646892
Actor-53;29812943
Actor-54;25624233
Actor-55;29773044
Actor-56;29092267
Actor-57;29913546
Actor-58;31699761
Actor-59;30286618
Actor-60;29589019
Actor-61;26346279
Actor-62;33748029
Actor-63;31184638
Actor-64;28213171
Actor-65;31727381
Actor-66;37559447
Actor-67;34142266
Actor-68;26382569
Actor-69;32416321
Actor-70;31974660
Actor-71;30995313
Actor-72;29495170
Actor-73;30140861
Actor-74;30537657
Actor-75;27545279
Actor-76;28205141
Actor-77;26881003
Actor-78;29636895
Actor-79;27344323
Actor-80;28485232
Actor-81;28951806
Actor-82;26117166
Actor-83;26456498
Actor-84;28200916
Actor-85;30811727
Actor-86;28032609
Actor-87;28733711
Actor-88;26364921
Actor-89;28947971
Actor-90;28334873
Actor-91;28431598
Actor-92;27087012
Actor-93;26879905
Actor-94;26970048
Actor-95;28917833
Actor-96;28383011
Actor-97;32375873
Actor-98;28410845
Actor-99;25958321
Actor-100;27390442
Actor-101;27346429
Actor-102;27500694
Actor-103;28990296
Actor-104;27016960
Actor-105;27207042
Actor-106;28321452
Actor-107;30272530
Actor-108;28939502
Actor-109;26434474
Actor-110;27597645
Actor-111;26594821
Actor-112;28135427
Actor-113;28046793
Actor-114;27550741
Actor-115;33568906
Actor-116;27783298
Actor-117;27680333
Actor-118;27732567
Actor-119;28438210
Actor-120;28177781
Actor-121;30694709
Actor-122;26819401
Actor-123;27409020
Actor-124;27837352
Actor-125;28451800
Actor-126;29117176
Actor-127;37307097
Actor-128;33978663
Actor-129;31543046
Actor-130;27001706
Actor-131;28995855
Actor-132;28257170
Actor-133;29035545
Actor-134;32695539
Actor-135;37507132
Actor-136;43084466
Actor-137;35302700
Actor-138;25136552
Actor-139;38234720
Actor-140;32126554
Actor-141;28310592
Actor-142;29141322
Actor-143;27411014
Actor-144;30970839
Actor-145;27314099
Actor-146;30494017
Actor-147;25956691
Actor-148;26358629
Actor-149;27700168
Actor-150;28305072
Actor-151;28335877
Actor-152;32611153
Actor-153;31416676
Actor-154;26905069
Actor-155;25036419
Actor-156;26849880
Actor-157;27102038
Actor-158;30709390
Actor-159;31569340
Actor-160;27082530
Actor-161;28287329
Actor-162;28838860
Actor-163;27933245
Actor-164;29105088
Actor-165;32339697
Actor-166;28241287
Actor-167;29646700
Actor-168;32140476
Actor-169;28579419
Actor-170;32706847
Actor-171;28570815
Actor-172;29918812
Actor-173;25882233
Actor-174;37746685
Actor-175;28071371
Actor-176;30913592
Actor-177;26088047
Actor-178;31299605
Actor-179;29397437
Actor-180;31841324
Actor-181;33871468
Actor-182;29763656
Actor-183;30959427
Actor-184;30234207
Actor-185;29885536
Actor-186;31267846
Actor-187;32595258
Actor-188;33483351
Actor-189;33668812
Actor-190;31244363
Actor-191;34821381
Actor-192;38021243
Actor-193;33323084
Actor-194;31677133
Actor-195;30446891
Actor-196;35415943
Actor-197;30690961
Actor-198;26619960
Actor-199;25741692
Actor-200;25256389
Actor-201;25902634
Actor-202;27602363
Actor-203;26848451
Actor-204;27482882
Actor-205;25551138
Actor-206;27369608
Actor-207;32122462
Actor-208;27267262
Actor-209;29362929
Actor-210;29579123
Actor-211;33760136
Actor-212;29195366
Actor-213;26429914
Actor-214;31984238
Actor-215;37848873
Actor-216;36132224
Actor-217;35657990
Actor-218;28657703
Actor-219;38795577
Actor-220;34473776
Actor-221;37648055
Actor-222;36609289
Actor-223;38898411
Actor-224;29655861
Actor-225;25715329
Actor-226;42405141
Actor-227;36721931
Actor-228;36789069
Actor-229;43485701
Actor-230;33013622
Actor-231;24388948
Actor-232;25430424
Actor-233;27469850
Actor-234;24968072
Actor-235;27585875
Actor-236;26705107
Actor-237;26959870
Actor-238;25072803
Actor-239;26401755
Actor-240;25664430
Actor-241;29942128
Actor-242;34185871
Actor-243;32471535
Actor-244;28952925
Actor-245;27722098
Actor-246;24170193
Actor-247;27975893
Actor-248;23522423
Actor-249;32894356
Actor-250;38321767
Actor-251;40861609
Actor-252;27692752
Actor-253;27453743
Actor-254;27024078
Actor-255;29698710
Actor-256;29999425
Actor-257;26285483
Actor-258;24972081
Actor-259;30582957
Actor-260;27328903
Actor-261;29434941
Actor-262;29484218
Actor-263;32741440
Actor-264;27527876
Actor-265;30367837
Actor-266;30794225
Actor-267;31822095
Actor-268;28661567
Actor-269;31863325
Actor-270;28967221
Actor-271;25272732
Actor-272;32344755
Actor-273;27392912
Actor-274;26686087
Actor-275;31802398
Actor-276;25636534
Actor-277;23882968
Actor-278;29960068
Actor-279;31008831
Actor-280;30821049
Actor-281;29246568
Actor-282;25405406
Actor-283;26904378
Actor-284;26774720
Actor-285;27355969
Actor-286;28382865
Actor-287;31689700
Actor-288;36876123
Actor-289;35416849
Actor-290;32217979
Actor-291;26138739
Actor-292;26041890
Actor-293;28438578
Actor-294;27940065
Actor-295;27599274
Actor-296;27772416
Actor-297;29120602
Actor-298;26940498
Actor-299;27702216
Actor-300;28093801
Actor-301;25266925
Actor-302;25124906
Actor-303;25003852
Actor-304;24734126
Actor-305;25568139
Actor-306;33994886
Actor-307;25474512
Actor-308;30440148
Actor-309;28662231
Actor-310;34084963
Actor-311;41316997
Actor-312;36631190
Actor-313;44467106
Actor-314;39752778
Actor-315;34299294
Actor-316;36180639
Actor-317;32147466
Actor-318;37050512
Actor-319;34501324
Actor-320;36251332
Actor-321;32794129
Actor-322;37225666
Actor-323;25470715
Actor-324;24393714
Actor-325;26759302
Actor-326;28974484
Actor-327;36791725
Actor-328;35196767
Actor-329;34106428
Actor-330;29214397
Actor-331;30825498
Actor-332;31309653
Actor-333;30778811
Actor-334;29728484
Actor-335;33840028
Actor-336;28348415
Actor-337;30105162
Actor-338;29824793
Actor-339;35790663
Actor-340;27679811
Actor-341;24308844
Actor-342;31097786
Actor-343;29782914
Actor-344;33956486
Actor-345;41427070
Actor-346;31652296
Actor-347;38142512
Actor-348;33182545
Actor-349;26198516
Actor-350;27522001
Actor-351;35660299
Actor-352;30051056
Actor-353;30593663
Actor-354;31814038
Actor-355;35812811
Actor-356;29485715
Actor-357;30496815
Actor-358;34442796
Actor-359;38503932
Actor-360;40040099
Actor-361;33945288
Actor-362;30140438
Actor-363;29564066
Actor-364;32618784
Actor-365;30552762
Actor-366;30225006
Actor-367;30027442
Actor-368;27209232
Actor-369;28239905
Actor-370;29005511
Actor-371;27607524
Actor-372;25868819
Actor-373;25363320
Actor-374;33850481
Actor-375;40752495
Actor-376;28896273
Actor-377;31199375
Actor-378;28175683
Actor-379;31988996
Actor-380;31941800
Actor-381;29230051
Actor-382;27299888
Actor-383;30339725
Actor-384;22986084
Actor-385;24707953
Actor-386;34379453
Actor-387;34988014
Actor-388;34416272
Actor-389;32570542
Actor-390;35990400
Actor-391;39373358
Actor-392;25422042
Actor-393;22830413
Actor-394;30627138
Actor-395;29227757
Actor-396;38791296
Actor-397;30176174
Actor-398;35993404
Actor-399;27683861
Actor-400;34891530
Actor-401;28149315
Actor-402;23544948
Actor-403;29396213
Actor-404;34293935
Actor-405;33429999
Actor-406;33845746
Actor-407;26437662
Actor-408;24806793
Actor-409;25657766
Actor-410;22242055
Actor-411;22353020
Actor-412;24646580
Actor-413;24734382
Actor-414;26386968
Actor-415;25713129
Actor-416;25372768
Actor-417;22109731
Actor-418;25426262
Actor-419;24489141
Actor-420;26703398
Actor-421;28911047
Actor-422;23589423
Actor-423;29580617
Actor-424;27787883
Actor-425;29916200
Actor-426;29352115
Actor-427;28285500
Actor-428;31602902
Actor-429;24617398
Actor-430;32562950
Actor-431;25896485
Actor-432;33462340
Actor-433;32431519
Actor-434;30933293
Actor-435;28313802
Actor-436;27557645
Actor-437;27121043
Actor-438;33828059
Actor-439;26159940
Actor-440;30454301
Actor-441;29345322
Actor-442;27791322
Actor-443;28042200
Actor-444;30387992
Actor-445;26596702
Actor-446;26784915
Actor-447;29704931
Actor-448;25132264
Actor-449;28398135
Actor-450;24190065
Actor-451;23425524
Actor-452;26763143
Actor-453;25701448
Actor-454;26073985
Actor-455;24504528
Actor-456;24560061
Actor-457;23814738
Actor-458;23483363
Actor-459;27222711
Actor-460;28412320
Actor-461;23055051
Actor-462;29890645
Actor-463;26697879
Actor-464;23088880
Actor-465;24106931
Actor-466;24882389
Actor-467;24239496
Actor-468;26316316
Actor-469;25014340
Actor-470;25963862
Actor-471;25664189
Actor-472;26731806
Actor-473;28605328
Actor-474;30384549
Actor-475;28684204
Actor-476;36930232
Actor-477;38821389
Actor-478;46989983
Actor-479;36637790
Actor-480;37687220
Actor-481;33671519
Actor-482;67332125
Actor-483;44830438
Actor-484;41202271
Actor-485;37298877
Actor-486;35977390
Actor-487;33013925
Actor-488;33998062
Actor-489;33253443
Actor-490;31695189
Actor-491;34076702
Actor-492;34762953
Actor-493;30693875
Actor-494;31399661
Actor-495;36753456
Actor-496;31574439
Actor-497;31011869
Actor-498;30555801
Actor-499;34727246
Actor-500;32878999
Actor-501;27702216
Actor-502;27348320
Actor-503;29006068
Actor-504;31057658
Actor-505;27955360
Actor-506;29423126
Actor-507;25778050
Actor-508;33682918
Actor-509;30576277
Actor-510;33896558
Actor-511;36270925
Actor-512;33426939
Actor-513;33728938
Actor-514;31779086
Actor-515;32862658
Actor-516;29869767
Actor-517;28964147
Actor-518;31007837
Actor-519;30896307
Actor-520;38422594
Actor-521;34210830
Actor-522;29831365
Actor-523;42771093
Actor-524;29961102
Actor-525;27787575
Actor-526;40252390
Actor-527;26900925
Actor-528;28087220
Actor-529;27946710
Actor-530;33778009
Actor-531;37014109
Actor-532;33080513
Actor-533;32699613
Actor-534;37857128
Actor-535;35904622
Actor-536;34532073
Actor-537;34881322
Actor-538;35582825
Actor-539;33791135
Actor-540;35212980
Actor-541;39749083
Actor-542;33872169
Actor-543;27653956
Actor-544;29569263
Actor-545;31070131
Actor-546;31947360
Actor-547;33074164
Actor-548;33769943
Actor-549;26627734
Actor-550;32281618
Actor-551;35321597
Actor-552;42358582
Actor-553;44935120
Actor-554;40017440
Actor-555;36705992
Actor-556;46542708
Actor-557;40298738
Actor-558;37336176
Actor-559;35914572
Actor-560;34903584
Actor-561;41374748
Actor-562;32499799
Actor-563;28487205
Actor-564;29237976
Actor-565;27903753
Actor-566;34902012
Actor-567;26328477
Actor-568;30052455
Actor-569;30816997
Actor-570;33048325
Actor-571;34608515
Actor-572;31816831
