actorId;timeNs
Actor-0;891796272
Actor-1;19769043
Actor-2;17247559
Actor-3;19684711
Actor-4;15458283
Actor-5;16908396
Actor-6;17125035
Actor-7;15475617
Actor-8;14754129
Actor-9;16290461
Actor-10;15426498
Actor-11;14620241
Actor-12;16339809
Actor-13;16503377
Actor-14;15297137
Actor-15;17485961
Actor-16;14221324
Actor-17;14496620
Actor-18;16722948
Actor-19;16098012
Actor-20;14287500
Actor-21;17126322
Actor-22;14721946
Actor-23;14882085
Actor-24;16905921
Actor-25;15555286
Actor-26;14664880
Actor-27;16005944
Actor-28;15814010
Actor-29;15679707
Actor-30;16759660
Actor-31;15893925
Actor-32;14927983
Actor-33;17462349
Actor-34;13275750
Actor-35;13409642
Actor-36;14774606
Actor-37;14706707
Actor-38;16071341
Actor-39;17643561
Actor-40;14154927
Actor-41;13486051
Actor-42;13700459
Actor-43;14400121
Actor-44;18727656
Actor-45;15361748
Actor-46;16754484
Actor-47;14544489
Actor-48;13558350
Actor-49;14063441
Actor-50;13158296
Actor-51;12837477
Actor-52;14323840
Actor-53;13471455
Actor-54;13848495
Actor-55;14744190
Actor-56;13503022
Actor-57;12658790
Actor-58;13304660
Actor-59;15053034
Actor-60;13651752
Actor-61;13699137
Actor-62;15402494
Actor-63;13574703
Actor-64;12464438
Actor-65;12479467
Actor-66;13483002
Actor-67;12554205
Actor-68;12145100
Actor-69;12843340
Actor-70;12878079
Actor-71;13085180
Actor-72;13948772
Actor-73;14209644
Actor-74;12683068
Actor-75;12892975
Actor-76;14076425
Actor-77;13282593
Actor-78;12655692
Actor-79;12466027
Actor-80;14378270
Actor-81;12748337
Actor-82;12454302
Actor-83;14799734
Actor-84;13086535
Actor-85;13623199
Actor-86;13119985
Actor-87;14202288
Actor-88;12797138
Actor-89;12585434
Actor-90;13434544
Actor-91;13240368
Actor-92;12685188
Actor-93;13611859
Actor-94;13802390
Actor-95;14061751
Actor-96;13657650
Actor-97;14088616
Actor-98;13188446
Actor-99;12401642
Actor-100;12745345
Actor-101;13303702
Actor-102;12637303
Actor-103;11906139
Actor-104;13068470
Actor-105;12282425
Actor-106;11594391
Actor-107;12440592
Actor-108;13207316
Actor-109;12137954
Actor-110;12097799
Actor-111;12090160
Actor-112;12851238
Actor-113;12016366
Actor-114;12148016
Actor-115;13068698
Actor-116;13362907
Actor-117;12101113
Actor-118;12561791
Actor-119;14299885
Actor-120;12532384
Actor-121;12433606
Actor-122;12576324
Actor-123;14811487
Actor-124;13207485
Actor-125;14402548
Actor-126;15116285
Actor-127;15482877
Actor-128;13569305
Actor-129;12334618
Actor-130;13423146
Actor-131;13322342
Actor-132;12223518
Actor-133;13535914
Actor-134;12963519
Actor-135;12266641
Actor-136;12026246
Actor-137;13180403
Actor-138;12038025
Actor-139;11843302
Actor-140;12796907
Actor-141;14604030
Actor-142;12728070
Actor-143;11855036
Actor-144;14152881
Actor-145;13576922
Actor-146;13137586
Actor-147;12291176
Actor-148;13878049
Actor-149;12801092
Actor-150;12206070
Actor-151;11547467
Actor-152;12204278
Actor-153;11606033
Actor-154;11914984
Actor-155;12752705
Actor-156;12491592
Actor-157;12502417
Actor-158;11776846
Actor-159;12410698
Actor-160;11885761
Actor-161;11283224
Actor-162;12697171
Actor-163;12864006
Actor-164;11587061
Actor-165;12244328
Actor-166;12257410
Actor-167;13113136
Actor-168;13136216
Actor-169;12391333
Actor-170;13776715
Actor-171;12575680
Actor-172;13686977
Actor-173;12623514
Actor-174;11935337
Actor-175;13737859
Actor-176;12426622
Actor-177;12214971
Actor-178;12822626
Actor-179;11676124
Actor-180;11753910
Actor-181;12864515
Actor-182;13545408
Actor-183;12390269
Actor-184;12665317
Actor-185;12325229
Actor-186;13624985
Actor-187;12959585
Actor-188;12759987
Actor-189;12384134
Actor-190;14269375
Actor-191;13079074
Actor-192;12276739
Actor-193;12041221
Actor-194;11970571
Actor-195;11548330
Actor-196;11237401
Actor-197;14717320
Actor-198;11968578
Actor-199;12011005
Actor-200;11816402
Actor-201;13524114
Actor-202;11287988
Actor-203;11949110
Actor-204;12315160
Actor-205;14069783
Actor-206;11708503
Actor-207;11152702
Actor-208;12097136
Actor-209;13520289
Actor-210;12729114
Actor-211;11523443
Actor-212;12329692
Actor-213;14063771
Actor-214;22371935
Actor-215;12348596
Actor-216;11959576
Actor-217;12984203
Actor-218;12027065
Actor-219;11529190
Actor-220;13553742
Actor-221;12470844
Actor-222;12043219
Actor-223;13806316
Actor-224;12887784
Actor-225;12061636
Actor-226;12611218
Actor-227;12876943
Actor-228;12946204
Actor-229;12069896
Actor-230;11747210
Actor-231;11803210
Actor-232;10040971
Actor-233;10756287
Actor-234;10475132
Actor-235;10747928
Actor-236;10911424
Actor-237;9705031
Actor-238;11597492
Actor-239;10515072
Actor-240;11979282
Actor-241;9548149
Actor-242;10174403
Actor-243;10838230
Actor-244;12058122
Actor-245;10425316
Actor-246;10062908
Actor-247;11055197
Actor-248;13022912
Actor-249;10774785
Actor-250;11222631
Actor-251;11344248
Actor-252;12887942
Actor-253;11312677
Actor-254;12025168
Actor-255;14219279
Actor-256;13537625
Actor-257;11183589
Actor-258;10637698
Actor-259;10982420
Actor-260;11326293
Actor-261;10576239
Actor-262;10181829
Actor-263;10648236
Actor-264;10123059
Actor-265;11027967
Actor-266;10735750
Actor-267;10306978
Actor-268;11044283
Actor-269;12313320
Actor-270;11275291
Actor-271;10356640
Actor-272;11437237
Actor-273;12304022
Actor-274;11232343
Actor-275;11703008
Actor-276;11339101
Actor-277;12335995
Actor-278;11996686
Actor-279;11506509
Actor-280;10935202
Actor-281;12865869
Actor-282;12571567
Actor-283;9944300
Actor-284;11475827
Actor-285;12535014
Actor-286;11158598
Actor-287;11159673
Actor-288;11063921
Actor-289;11847313
Actor-290;11043822
Actor-291;10998670
Actor-292;11075975
Actor-293;12048736
Actor-294;11705460
Actor-295;11204028
Actor-296;11868071
Actor-297;13079126
Actor-298;12148919
Actor-299;11825860
Actor-300;11035184
Actor-301;12254486
Actor-302;10952169
Actor-303;11164564
Actor-304;12395301
Actor-305;12311369
Actor-306;11629903
Actor-307;12866009
Actor-308;11440029
Actor-309;12647576
Actor-310;11472013
Actor-311;12897528
Actor-312;11977165
Actor-313;12412140
Actor-314;13064413
Actor-315;12921177
Actor-316;13648655
Actor-317;11380435
Actor-318;11454501
Actor-319;12459227
Actor-320;12962578
Actor-321;10778010
Actor-322;12187876
Actor-323;11772192
Actor-324;11649269
Actor-325;10967618
Actor-326;10785050
Actor-327;11053613
Actor-328;12832246
Actor-329;10799658
Actor-330;12762019
Actor-331;10897618
Actor-332;11807095
Actor-333;11946600
Actor-334;12374463
Actor-335;10956310
Actor-336;12062365
Actor-337;11771739
Actor-338;11610875
Actor-339;11092774
Actor-340;13747838
Actor-341;11386866
Actor-342;10665415
Actor-343;10657018
Actor-344;12366201
Actor-345;12738727
Actor-346;11730896
Actor-347;11267734
Actor-348;11629878
Actor-349;12257241
Actor-350;11521594
Actor-351;12569398
Actor-352;11307680
Actor-353;12765231
Actor-354;11143044
Actor-355;12178037
Actor-356;16037892
Actor-357;19986824
Actor-358;18272193
Actor-359;17987269
Actor-360;20844225
Actor-361;16515171
Actor-362;19516694
Actor-363;15810507
Actor-364;15578557
Actor-365;17041680
Actor-366;14962783
Actor-367;13598993
Actor-368;14402111
Actor-369;13471025
Actor-370;12588842
Actor-371;15518982
Actor-372;15412811
Actor-373;15673815
Actor-374;12679736
Actor-375;12908817
Actor-376;22409907
Actor-377;24101116
Actor-378;14410131
Actor-379;13700690
Actor-380;12262165
Actor-381;14754407
Actor-382;13877478
Actor-383;15374432
Actor-384;16442258
Actor-385;15993502
Actor-386;12369907
Actor-387;12813995
Actor-388;15288450
Actor-389;15996460
Actor-390;13539000
Actor-391;13587281
Actor-392;12696100
Actor-393;12201143
Actor-394;13177253
Actor-395;13389198
Actor-396;12838994
Actor-397;12952189
Actor-398;13899135
Actor-399;12357330
Actor-400;13299555
Actor-401;14360021
Actor-402;13511033
Actor-403;13004836
Actor-404;13010613
Actor-405;14442019
Actor-406;15348643
Actor-407;16285469
Actor-408;12924072
Actor-409;13897194
Actor-410;12094876
Actor-411;13254210
Actor-412;13343583
Actor-413;13180124
Actor-414;13319663
Actor-415;12247096
Actor-416;13462105
Actor-417;13386428
Actor-418;12970010
Actor-419;12580934
Actor-420;13985981
Actor-421;12539974
Actor-422;12197678
Actor-423;15931765
Actor-424;12430513
Actor-425;12167127
