actorId;timeNs
Actor-0;900197144
Actor-1;398357811
Actor-2;50760249
Actor-3;48369453
Actor-4;57989658
Actor-5;46644682
Actor-6;49223824
Actor-7;40971175
Actor-8;38493980
Actor-9;36115766
Actor-10;40686951
Actor-11;35765262
Actor-12;42667003
Actor-13;34865842
Actor-14;28809798
Actor-15;34058406
Actor-16;28611083
Actor-17;31534796
Actor-18;23429929
Actor-19;23433177
Actor-20;24451986
Actor-21;24163210
Actor-22;24154635
Actor-23;22253658
Actor-24;28668637
Actor-25;23564136
Actor-26;26442089
Actor-27;29795107
Actor-28;26496428
Actor-29;27264651
Actor-30;25397256
Actor-31;26277542
Actor-32;29295646
Actor-33;24439064
Actor-34;25657002
Actor-35;24030941
Actor-36;21494602
Actor-37;24452308
Actor-38;24881559
Actor-39;23858495
Actor-40;30472175
Actor-41;26960931
Actor-42;24618924
Actor-43;26400548
Actor-44;29034041
Actor-45;25234439
Actor-46;24173051
Actor-47;23278035
Actor-48;26994222
Actor-49;23975433
Actor-50;21554890
Actor-51;22099920
Actor-52;23121584
Actor-53;23530938
Actor-54;22289731
Actor-55;23509230
Actor-56;22318174
Actor-57;23283916
Actor-58;23296256
Actor-59;25256695
Actor-60;27564884
Actor-61;26778670
Actor-62;25466860
Actor-63;23562625
Actor-64;23361087
Actor-65;23076050
Actor-66;23087789
Actor-67;31780997
Actor-68;32288990
Actor-69;35115370
Actor-70;38562202
Actor-71;26028932
Actor-72;25933779
Actor-73;31504330
Actor-74;21627840
Actor-75;25678815
Actor-76;22516552
Actor-77;21762281
Actor-78;28936837
Actor-79;28858706
Actor-80;25091675
Actor-81;23849735
Actor-82;26988396
Actor-83;26813122
Actor-84;24434935
Actor-85;24236390
Actor-86;20008622
Actor-87;22046408
Actor-88;22065753
Actor-89;22995967
Actor-90;22686287
Actor-91;21833302
Actor-92;24140217
Actor-93;24430718
Actor-94;22359960
Actor-95;23126223
Actor-96;25375968
Actor-97;21317751
Actor-98;23051578
Actor-99;21938764
Actor-100;21894865
Actor-101;22931052
Actor-102;22682667
Actor-103;21791357
Actor-104;23584174
Actor-105;21146809
Actor-106;20142440
